iter	Passed	Remaining
455	865	1032
456	869	1032
457	870	1030
458	871	1027
459	872	1024
460	873	1021
461	875	1019
462	876	1016
463	877	1013
464	879	1011
465	880	1008
466	881	1006
467	885	1006
468	886	1004
469	888	1002
470	890	999
471	891	997
472	892	994
473	894	992
474	895	989
475	896	987
476	899	986
477	901	984
478	902	981
479	903	979
480	905	976
481	906	974
482	907	971
483	908	968
484	910	966
485	911	963
486	915	964
487	917	962
488	919	960
489	920	957
490	921	955
491	923	953
492	924	950
493	927	949
494	931	950
495	932	947
496	934	945
497	935	942
498	936	940
499	937	937
500	939	935
501	940	933
502	942	930
503	945	930
504	946	927
505	947	925
506	949	923
507	950	920
508	951	918
509	953	915
510	954	913
511	955	910
512	957	908
513	960	907
514	961	905
515	962	903
516	963	900
517	965	898
518	966	895
519	967	893
520	970	892
521	971	889
522	973	887
523	976	886
524	977	884
525	979	882
526	980	879
527	981	877
528	983	875
529	985	873
530	986	871
531	989	870
532	990	868
533	991	865
534	993	863
535	994	860
536	995	858
537	997	856
538	998	853
539	999	851
540	1000	848
541	1001	846
542	1002	844
543	1006	843
544	1008	841
545	1010	839
546	1011	837
547	1012	835
548	1014	833
549	1015	830
550	1016	828
551	1018	826
552	1021	825
553	1022	823
554	1024	821
555	1026	819
556	1027	817
557	1028	814
558	1029	812
559	1031	810
560	1032	807
561	1035	807
562	1036	804
563	1038	802
564	1039	800
565	1041	798
566	1043	796
567	1044	794
568	1045	792
569	1047	789
570	1048	787
571	1053	788
572	1054	785
573	1056	783
574	1057	781
575	1058	779
576	1060	777
577	1068	780
578	1070	778
579	1073	777
580	1074	775
581	1076	773
582	1077	770
583	1079	768
584	1082	768
585	1083	765
586	1084	763
587	1085	760
588	1087	758
589	1088	756
590	1089	754
591	1091	751
592	1092	749
593	1093	747
594	1095	745
595	1098	744
596	1100	743
597	1102	740
598	1103	738
599	1105	737
600	1107	734
601	1109	733
602	1110	730
603	1113	729
604	1114	727
605	1115	725
606	1117	723
607	1118	721
608	1119	718
609	1121	716
610	1123	715
611	1125	713
612	1128	712
613	1129	710
614	1130	707
615	1132	705
616	1133	703
617	1134	701
618	1135	699
619	1137	697
620	1138	694
621	1139	692
622	1143	691
623	1144	689
624	1146	687
625	1147	685
626	1148	683
627	1149	681
628	1151	679
629	1152	677
630	1154	674
631	1155	672
632	1158	671
633	1159	669
634	1160	667
635	1161	665
636	1163	662
637	1164	660
638	1165	658
639	1167	656
640	1168	654
641	1169	652
642	1171	650
643	1172	648
644	1173	645
645	1175	643
646	1176	641
647	1179	640
648	1180	638
649	1181	636
650	1182	634
651	1186	633
652	1187	630
653	1188	628
654	1189	626
655	1190	624
656	1192	622
657	1193	620
658	1194	618
659	1195	616
660	1197	614
661	1198	611
662	1202	611
663	1204	609
664	1206	607
665	1207	605
666	1208	603
667	1209	601
668	1211	599
669	1212	597
670	1217	597
671	1219	595
672	1221	593
673	1222	591
674	1223	589
675	1227	588
676	1234	588
677	1238	588
678	1248	590
679	1252	589
680	1253	587
681	1259	587
682	1264	586
683	1266	584
684	1271	584
685	1274	583
686	1276	581
687	1280	580
688	1289	581
689	1295	581
690	1297	579
691	1298	578
692	1303	577
693	1316	580
694	1319	579
695	1321	577
696	1323	575
697	1327	574
698	1330	572
699	1332	570
700	1333	568
701	1335	566
702	1336	564
703	1338	562
704	1339	560
705	1344	560
706	1348	558
707	1351	557
708	1353	555
709	1354	553
710	1355	551
711	1359	549
712	1360	547
713	1362	545
714	1364	543
715	1366	541
716	1367	539
717	1369	537
718	1370	535
719	1373	534
720	1374	531
721	1376	530
722	1377	527
723	1378	525
724	1380	523
725	1381	521
726	1382	519
727	1384	517
728	1385	515
729	1389	513
730	1390	511
731	1392	509
732	1393	507
733	1394	505
734	1396	503
735	1399	501
736	1400	499
737	1404	498
738	1406	496
739	1408	494
740	1409	492
741	1410	490
742	1412	488
743	1413	486
744	1414	484
745	1416	482
746	1419	480
747	1420	478
748	1422	476
749	1423	474
750	1424	472
751	1425	470
752	1427	468
753	1428	466
754	1429	463
755	1431	461
756	1437	461
757	1439	459
758	1440	457
759	1442	455
760	1444	453
761	1445	451
762	1447	449
763	1451	448
764	1452	446
765	1454	444
766	1456	442
767	1457	440
768	1461	438
769	1463	437
770	1467	435
771	1468	433
772	1470	431
773	1471	429
774	1476	428
775	1478	426
776	1482	425
777	1484	423
778	1486	421
779	1487	419
780	1489	417
781	1491	415
782	1493	413
783	1497	412
784	1499	410
785	1500	408
786	1502	406
787	1505	404
788	1507	403
789	1509	401
790	1513	399
791	1515	397
792	1517	396
793	1524	395
794	1528	394
795	1530	392
796	1531	390
797	1533	388
798	1535	386
799	1537	384
800	1539	382
801	1541	380
802	1544	378
803	1545	376
804	1547	374
805	1548	372
806	1550	370
807	1552	368
808	1554	366
809	1555	364
810	1559	363
811	1561	361
812	1563	359
813	1565	357
814	1568	356
815	1570	354
816	1574	352
817	1576	350
818	1577	348
819	1580	346
820	1581	344
821	1583	342
822	1585	340
823	1586	338
824	1588	337
825	1590	335
826	1592	333
827	1593	331
828	1595	329
829	1596	327
830	1599	325
831	1603	323
832	1608	322
833	1609	320
834	1612	318
835	1613	316
836	1620	315
837	1622	313
838	1624	311
839	1625	309
840	1627	307
841	1629	305
842	1632	303
843	1637	302
844	1640	300
845	1642	298
846	1644	296
847	1646	295
848	1649	293
849	1651	291
850	1653	289
851	1655	287
852	1657	285
853	1659	283
854	1665	282
855	1668	280
856	1669	278
857	1671	276
858	1673	274
859	1675	272
860	1676	270
861	1678	268
862	1680	266
863	1682	264
864	1683	262
865	1686	260
866	1687	258
867	1689	256
868	1691	254
869	1697	253
870	1699	251
871	1701	249
872	1702	247
873	1704	245
874	1705	243
875	1707	241
876	1714	240
877	1716	238
878	1718	236
879	1719	234
880	1721	232
881	1722	230
882	1726	228
883	1728	226
884	1731	225
885	1733	223
886	1735	221
887	1738	219
888	1743	217
889	1745	215
890	1747	213
891	1749	211
892	1752	210
893	1754	208
894	1763	206
895	1765	204
896	1766	202
897	1768	200
898	1770	198
899	1774	197
900	1776	195
901	1777	193
902	1779	191
903	1781	189
904	1782	187
905	1784	185
906	1789	183
907	1791	181
908	1793	179
909	1795	177
910	1798	175
911	1803	174
912	1805	172
913	1806	170
914	1808	168
915	1810	166
916	1815	164
917	1821	162
918	1823	160
919	1825	158
920	1826	156
921	1828	154
922	1829	152
923	1832	150
924	1834	148
925	1836	146
926	1840	144
927	1842	142
928	1844	140
929	1849	139
930	1852	137
931	1854	135
932	1856	133
933	1857	131
934	1859	129
935	1861	127
936	1864	125
937	1865	123
938	1867	121
939	1868	119
940	1870	117
941	1872	115
942	1873	113
943	1875	111
944	1876	109
945	1882	107
946	1884	105
947	1886	103
948	1888	101
949	1890	99
950	1891	97
951	1895	95
952	1898	93
953	1902	91
954	1904	89
955	1906	87
956	1908	85
957	1923	84
958	1929	82
959	1930	80
960	1932	78
961	1934	76
962	1936	74
963	1937	72
964	1938	70
965	1940	68
966	1942	66
967	1944	64
968	1945	62
969	1947	60
970	1949	58
971	1951	56
972	1952	54
973	1956	52
974	1959	50
975	1961	48
976	1963	46
977	1965	44
978	1967	42
979	1969	40
980	1972	38
981	1974	36
982	1976	34
983	1977	32
984	1979	30
985	1980	28
986	1983	26
987	1987	24
988	1992	22
989	1993	20
990	1995	18
991	1997	16
992	2000	14
993	2004	12
994	2006	10
995	2007	8
996	2009	6
997	2010	4
998	2012	2
999	2015	0
